"","year","journal","article","title","zenURL","zenName","dvURL","dvName"
"14",2018,"AEJ: Economic Policy",29,"Can Small Incentives Have Large Effects? The Impact of Taxes versus Bonuses on Disposable Bag Use","https://doi.org/10.5281/zenodo.11078743","Performance of Advanced Ambu Bag System among Adult Patients with Mechanical Ventilation: A Mixed-Effects Analysis","https://doi.org/10.3886/E114650V1","Replication data for: Can Small Incentives Have Large Effects? The Impact of Taxes versus Bonuses on Disposable Bag Use"
"15",2018,"Journal of Finance",36,"Can Taxes Shape an Industry? Evidence from the Implementation of the �Amazon Tax�","https://doi.org/10.5281/zenodo.20269172","THE ROLE AND IMPORTANCE OF TAX POLICY IN ENSURING BUDGETARY STABILITY","https://doi.org/10.7910/DVN/QP3TCM","Replication Data for: ""Mobility responses to the establishment of a residential tax haven: Evidence from Switzerland."""
"16",2015,"American Economic Review",51,"Capital Tax Reform and the Real Economy: The Effects of the 2003 Dividend Tax Cut","https://doi.org/10.5281/zenodo.7446608","Corporate tax database","https://doi.org/10.7910/DVN/29631","Replication data for: A Political Economy of Income Tax Policies"
"17",2018,"Journal of Financial Economics",102,"Cash windfalls and acquisitions","https://doi.org/10.5281/zenodo.19244947","Dataset: Genome-wide identification of graft-responsive miRNAs reveals in mulberry rootstock–scion interactions","https://doi.org/10.7910/DVN/XY4GC0","Replication Data for: Cash versus Lotteries: COVID-19 Vaccine Incentives Experiment"
"18",2015,"Journal of Development Economics",7,"Child mortality risk and fertility: Evidence from prevention of mother-to-child transmission of HIV","https://doi.org/10.5061/dryad.6djh9w0zr","Data from: National-level effectiveness of ART to prevent early mother to child transmission of HIV in Namibia","https://doi.org/10.7910/DVN/Z9FT4I","USMDB Documentation"
"19",2018,"American Economic Review",51,"Commuting, Migration, and Local Employment Elasticities","https://doi.org/10.5281/zenodo.20605682","DIRECTIONS FOR IMPROVING EFFICIENCY IN MANUFACTURING ENTERPRISES: EVIDENCE FROM UZBEKISTAN'S INDUSTRIAL SECTOR","https://doi.org/10.7910/DVN/KOVG1Y","Read me"
"20",2015,"Journal of Financial Economics",20,"Competition of the informed: Does the presence of short sellers affect insider selling?","https://doi.org/10.5281/zenodo.3581336","IO Islamic 137. Żafarnâma, History of Timûr","https://doi.org/10.7910/DVN/0EUBZD","Replication Data for ""Does Amazon’s Dual Role Weaken Marketplace Competition?"""
"21",2018,"Journal of Public Economics",4,"Congressional committees, legislative influence, and the hegemony of chairs","https://doi.org/10.5281/zenodo.19438795","Legislative Readability in Brazil (2003–2025): Analytical Dataset and Replication Code","https://doi.org/10.7910/DVN/WCJP86","Pandemic preparedness and responsiveness of research review committees"
"22",2018,"Review of Financial Studies",57,"Contagious Effects of a Political Intervention in Debt Contracts: Evidence Using Loan-Level Data","https://doi.org/10.5061/dryad.nr8d8","Data from: The impact of hotspot-targeted interventions on malaria transmission in Rachuonyo south district in the western Kenyan highlands: a cluster-randomized controlled trial","https://doi.org/10.7910/DVN/WNNWCO","Replication Data for: A Regression Analysis of the probability of a recession and student loan debt utilizing data between 1993-2019"
"23",2018,"Journal of Financial Economics",81,"Cost of experimentation and the evolution of venture capital","https://doi.org/10.5281/zenodo.20052464","MECHANISMS FOR ENSURING SUSTAINABLE GROWTH OF AN INNOVATIVE ECONOMY THROUGH THE DEVELOPMENT OF VENTURE CAPITAL","https://doi.org/10.7910/DVN/26092","Cooperation across organizational boundaries: Experimental evidence from a major sustainability science project"
"24",2018,"Review of Financial Studies",36,"Credit Ratings and the Cost of Municipal Financing","https://doi.org/10.5281/zenodo.20450361","Replication package for ""When does development credit count as adaptation finance? Drought losses and climate-relevant credit in Brazil's semi-arid region""","https://doi.org/10.7910/DVN/MSYKVX","4. Above Facility Costs Dataset: 6 countries"
"25",2018,"Review of Financial Studies",31,"Cross-Subsidization in Institutional Asset Management Firms","https://doi.org/10.5281/zenodo.18632748","THE IMPACT OF STRATEGIC MANAGEMENT ON ECONOMIC GROWTH IN EMERGING MARKETS","https://doi.org/10.7910/DVN/YVSIIN","Replication code for: ""Firm bank relationships: a cross country comparison"""
"26",2018,"Quarterly Journal of Economics",6,"DO ENERGY EFFICIENCY INVESTMENTS DELIVER? EVIDENCE FROM THE WEATHERIZATION ASSISTANCE PROGRAM","https://doi.org/10.5281/zenodo.13993677","Information Nudges, Subsidies, and Crowding Out of Attention: Field Evidence from Energy Efficiency Investments","https://doi.org/10.7910/DVN/OJFYSR","Replication Data for: 'Do Energy Efficiency Investments Deliver? Evidence from the Weatherization Assistance Program'"
"27",2018,"Review of Economic Studies",49,"Decriminalizing Indoor Prostitution: Implications for Sexual Violence and Public Health","https://doi.org/10.5281/zenodo.14984381","Comparing the test performance of dried-blood-spot and plasma HIV recent infection testing samples in a nationally scaled sex worker programme in Zimbabwe","https://doi.org/10.7910/DVN/J0NGVR","Violence Lexicon"
"28",2018,"Journal of Finance",63,"Deviations from Covered Interest Rate Parity","https://doi.org/10.5281/zenodo.19644244","INTEREST RATE POLICY OF COMMERCIAL BANKS: ITS NECESSITY AND IMPORTANCE","https://doi.org/10.7910/DVN/SIIUIQ","Land Cover - Clipped"
"29",2018,"American Economic Review",31,"Do Higher Corporate Taxes Reduce Wages? Micro Evidence from Germany","https://doi.org/10.5281/zenodo.19339259","GERMANY'S TAX SYSTEM AND ITS DISTINCTIVE FEATURES","https://doi.org/10.7910/DVN/XWH7ZE","Replication Data and Code for Corporate Culture: Evidence from the Field"
"30",2018,"American Economic Review",110,"Do Larger Health Insurance Subsidies Benefit Patients or Producers? Evidence from Medicare Advantage","https://doi.org/10.5281/zenodo.16995315","Medicare SHIP Contact Database for All 50 States & DC","https://doi.org/10.7910/DVN/MOT8HC","Replication codes"
"31",2018,"American Economic Review",50,"Do Recessions Accelerate Routine- Biased Technological Change? Evidence from Vacancy Postings","https://doi.org/10.5281/zenodo.17748941","Do Term Spreads Predict Recessions? Lessons from a Meta-Analysis","https://doi.org/10.3886/E113166V1","Replication data for: Do Recessions Accelerate Routine-Biased Technological Change? Evidence from Vacancy Postings"
"32",2015,"Journal of Public Economics",43,"Do lottery payments induce savings behavior? Evidence from the lab","https://doi.org/10.5061/dryad.vt4b8gtvn","Paid and hypothetical time preferences are the same: Lab, field and online evidence","https://doi.org/10.7910/DVN/DGTAKN","Replication Data for: What Are The Headwaters of Formal Savings? Experimental Evidence from Sri Lanka"
"33",2018,"Journal of Financial Economics",80,"Do universal banks finance riskier but more productive firms?","https://doi.org/10.5281/zenodo.18752705","HOW ISLAMIC DEVELOPMENT FINANCE SUPPORTS BUSINESS GROWTH: THE ROLE OF THE ISLAMIC DEVELOPMENT BANK IN MALAYSIA","https://doi.org/10.7910/DVN/26474","Immigration Judges and U.S. Asylum Policy"
"34",2018,"AEJ: Applied Economics",22,"Does Electoral Competition Curb Party Favoritism?�","https://doi.org/10.5281/zenodo.6816535","Líderes Históricos y Contemporáneos del PAN Jalisco: 1939-2012  / PAN Elite Trajectories Database Jalisco, Mexico","https://doi.org/10.7910/DVN/0EUBZD","Replication Data for ""Does Amazon’s Dual Role Weaken Marketplace Competition?"""
"35",2015,"AEJ: Economic Policy",8,"Does Vertical Integration Decrease Prices? Evidence from the Paramount Antitrust Case of 1948","https://doi.org/10.5281/zenodo.7985048","Temperature Decrease in Liverpool","https://doi.org/10.3886/E114556V1","Replication data for: Does Vertical Integration Decrease Prices? Evidence from the Paramount Antitrust Case of 1948"
"36",2018,"Journal of Public Economics",122,"Does competition fromprivate surgical centres improve public hospitals' performance? Evidence from the English National Health Service","https://doi.org/10.5281/zenodo.15172881","Global Outpatient Care Market 2024 To 2033","https://doi.org/10.7910/DVN/0EUBZD","Replication Data for ""Does Amazon’s Dual Role Weaken Marketplace Competition?"""
"37",2018,"Journal of International Economics",42,"Does economic structure determine financial structure","https://doi.org/10.5281/zenodo.19068496","Anomalous magnetotransport in the single-crystalline half-Heusler antiferromagnet ErPdSb","https://doi.org/10.7910/DVN/CPEZPK","Functional structures of US state governments"
"38",2018,"Journal of Development Economics",34,"Does improved storage technology promote modern input use and food security? Evidence from a randomized trial in Uganda","https://doi.org/10.5281/zenodo.15775140","Replication Data and Code for ""Small policy changes can accelerate the adoption of improved on-farm storage among smallholder farmers""","https://doi.org/10.7910/DVN/4UXYOX","Replication data for: Influence of improved supply on household electricity consumption - Evidence from rural India"
"39",2018,"Journal of International Economics",17,"Don�t throw in the towel, throw in trade credit","https://doi.org/10.5281/zenodo.8309823","A proposed equation for calculating the total horizontal distance in projectiles of varying launch and landing levels","https://doi.org/10.7910/DVN/EGAIKO","Replication Data for: Credit Scoring of Thin File Consumers"
"40",2018,"Review of Economic Studies",42,"Dutch Disease or Agglomeration? The Local Economic Effects of Natural Resource Booms in Modern America","https://doi.org/10.5281/zenodo.18988133","ECONOMICS OF NATURAL RESOURCES AND MECHANISMS FOR THEIR EFFICIENT USE","https://doi.org/10.7910/DVN/QXP0TY","Replication Data for: Pathways to migration: the role of natural resource degradation"
"41",2018,"AEJ: Applied Economics",11,"Education and Mortality: Evidence from a Social Experiment","https://doi.org/10.5061/dryad.3324n","Data from: Free-ranging dogs show age related plasticity in their ability to follow human pointing","https://doi.org/10.7910/DVN/G0HJLV","Replication Code: The Role of Education and Attitudes in Cooking Fuel Choice: Evidence from two states in India"
"42",2018,"Journal of Human Resources",15,"Effective Policy for Reducing Poverty and Inequality? The Earned Income Tax Credit and the Distribution of Income","https://doi.org/10.5281/zenodo.19260787","THE ROLE OF TAXES IN REGULATING HOUSEHOLD INCOME","https://doi.org/10.7910/DVN/29631","Replication data for: A Political Economy of Income Tax Policies"
"43",2018,"Journal of Human Resources",18,"Ethnic Complementarities after the Opening of China","https://doi.org/10.5281/zenodo.1199272","Reproducibility package for: Badges for Geoscience Containers","https://doi.org/10.7910/DVN/TT2BP1","Replication Data for: Racial and Ethnic Differences in the Availability of Community Medical Services after Leaving Prison"
"44",2018,"Journal of International Economics",76,"Exposure to Chinese imports and media slant: Evidence from 147 U.S. local newspapers over 1998�2012","https://doi.org/10.5061/dryad.bh576","Data from: National citation patterns of NEJM, The Lancet, JAMA and The BMJ in the lay press: a quantitative content analysis","https://doi.org/10.7910/DVN/LWPOJQ","Replication Data for: Record Linkage for Character-Based Surnames - Evidence from Chinese Exclusion"
"45",2018,"Journal of the European Economic Association",10,"FERTILITY AND EARLY-LIFE MORTALITY: EVIDENCE FROM SMALLPOX VACCINATION IN SWEDEN","https://doi.org/10.5061/dryad.966qt","Data from: Early-life disease exposure and associations with adult survival, cause of death, and reproductive success in preindustrial humans","https://doi.org/10.7910/DVN/Z9TFLZ","U.S County Life Tables R Binaries 1982-2019"
"46",2015,"Journal of Financial Economics",45,"Female leadership and gender equity: Evidence from plant closure","https://doi.org/10.5281/zenodo.18789908","Gender equality in academia: A Longitudinal analysis of female managers' leadership traits and changes in leadership styles","https://doi.org/10.7910/DVN/ELAWDT","Restricted Data for: “Gender Attitudes in the Judiciary: Evidence from U.S. Circuit Courts”"
"47",2018,"Journal of Urban Economics",9,"Finance and urbanization in early nineteenth-century New York","https://doi.org/10.5281/zenodo.17547697","The impact of new urbanization on ""quantity increase and quality improvement"" of urban green innovation","https://doi.org/10.7910/DVN/MYXSTV","CCES 2014 Team Module of NYU"
"48",2018,"Journal of Public Economics",81,"Firm types, price-setting strategies, and consumption-tax incidence","https://doi.org/10.5281/zenodo.19310517","ENHANCING THE COMPETITIVENESS OF INSURANCE COMPANIES THROUGH TAX BURDEN REDUCTION","https://doi.org/10.7910/DVN/S4U2V0","Practical Considerations and Strategies for Collecting Data on Implementation Determinants in Low Resource Healthcare Settings"
"49",2018,"AEJ: Economic Policy",2,"Fiscal Centralization: Theory and Evidence from the Great Depression","https://doi.org/10.5281/zenodo.19144722","IMPROVING LOCAL BUDGET EFFICIENCY THROUGH THE OPTIMIZATION OF SOCIAL SPENDING: EVIDENCE AND POLICY IMPLICATIONS FROM UZBEKISTAN","https://doi.org/10.7910/DVN/TMHHYY","Online Appendices for The Globalization Backlash Revisited: Evidence from the United States"
"50",2015,"Journal of Urban Economics",13,"Foreclosure, vacancy and crime","https://doi.org/10.5281/zenodo.10086354","City-Data.com Corpus","https://doi.org/10.7910/DVN/VQVXXK","Environmental Crime in the Colombian Amazon"
"51",2018,"Economic Journal",63,"HUMAN CAPITAL, TECHNOLOGY ADOPTION AND FIRM PERFORMANCE: IMPACTS OF CHINA�S HIGHER EDUCATION EXPANSION IN THE LATE 1990S","https://doi.org/10.5281/zenodo.19684700","NEURONPATH AND THE ECONOMICS OF COGNITIVE DISRUPTION: HUMAN CAPITAL THEORY, MARKET STRUCTURE, AND ORGANIZATIONAL IMPLICATIONS OF NEURAL-SYNC LEARNING TECHNOLOGY","https://doi.org/10.7910/DVN/UGOVCP","Replication Data for: Artificial Intelligence Adoption Intensity and Green Innovation Boundary Expansion: Evidence from Chinese Listed Firms"
"52",2015,"Journal of Public Economics",7,"Has regulation of charitable foundations thrown the baby out with the bath water?","https://doi.org/10.17916/P64S3R","MEDICAL ASSISTANCE AND ORTHODOX TRADITIONS IN RUSSIA","https://doi.org/10.7910/DVN/EY89YG","Telomere length shortening in hospitalized preterm infants"
"53",2018,"American Economic Review",108,"Housing Booms and Busts, Labor Market Opportunities, and College Attendance","https://doi.org/10.5061/dryad.ksn02v70b","Data from: Ecological drivers of jellyfish blooms – the complex life history of a 'well-known' medusa (Aurelia aurita)","https://doi.org/10.3886/E113109V1","Replication data for: Housing Booms and Busts, Labor Market Opportunities, and College Attendance"
"54",2018,"AEJ: Economic Policy",46,"How Do Changes in Housing Voucher Design Affect Rent and Neighborhood Quality","https://doi.org/10.7280/D1MW2M","Special Survey of Orange County 2004","https://doi.org/10.7910/DVN/RNA2H6","Swedish Rental Market Dataset 2026 Top Cities"
"55",2018,"AEJ: Economic Policy",38,"How Punishment Severity Affects Jury Verdicts: Evidence from Two Natural Experiments","https://doi.org/10.5061/dryad.r7c7p","Data from: Patient and impatient punishers of free-riders","https://doi.org/10.7910/DVN/AIBFFJ","Replication Data for:"
"56",2018,"Journal of Financial Economics",82,"How does hedge fund activism reshape corporate innovation","https://doi.org/10.5281/zenodo.20559594","Digital Transformation Keywords","https://doi.org/10.7910/DVN/OMJTCM","Replication Data for: ""How Does Affective Polarization Feel? A Comparative Description"", European Journal of Political Research"
"57",2015,"AEJ: Economic Policy",33,"Identity-Based Policies and Identity Manipulation: Evidence from Colonial Punjab","https://doi.org/10.5281/zenodo.7010156","Evidence from the Literature to Answer Specific Research Questions","https://doi.org/10.7910/DVN/IJTCH9","Supplementary Appendix for ""Partisan Change with Generational Turnover: Latino Party Identification from 1989-2023"""
"58",2018,"American Economic Review",87,"Immigration Restrictions as Active Labor Market Policy: Evidence from the Mexican Bracero Exclusion","https://doi.org/10.5281/zenodo.17823429","Data-Global care chain of Mexican women.","https://doi.org/10.7910/DVN/17M4ZP","Replication Data for: Immigration Restrictions as Active Labor Market Policy: Evidence from the Mexican Bracero Exclusion"
"59",2015,"Journal of Urban Economics",28,"Impact of electronic road pricing on real estate prices in Singapore","https://doi.org/10.5281/zenodo.19780723","Real Estate Tokenization Models: Technology, Business and Legal Perspective","https://doi.org/10.7910/DVN/8HYOIB","Geographic Information Systems Data"
"60",2015,"Journal of Financial Economics",60,"Importing corruption culture from overseas: Evidence from corporate tax evasion in the United States","https://doi.org/10.5061/dryad.9k358","Data from: Intrinsic honesty and the prevalence of rule violations across societies","https://doi.org/10.7910/DVN/TMHHYY","Online Appendices for The Globalization Backlash Revisited: Evidence from the United States"
"61",2018,"Journal of Public Economics",99,"Improving police services: Evidence fromthe French Quarter Task Force","https://doi.org/10.5061/dryad.2z34tmptj","Determination of fluoroquinolones concentration among biofilm-forming and non-forming uropathogenic Acinetobacter Calcoaceticus-Baumannii complex and their correlation to fluoroquinolone-resistant genes","https://doi.org/10.7910/DVN/7AIKZH","Dairy Value Chain Survey in Ethiopia: Producer Survey"
"62",2015,"AEJ: Economic Policy",5,"Income, the Earned Income Tax Credit, and Infant Health","https://doi.org/10.5281/zenodo.19355868","THE IMPACT OF TAX BURDEN ON ECONOMIC DEVELOPMENT","https://doi.org/10.7910/DVN/29631","Replication data for: A Political Economy of Income Tax Policies"
"63",2018,"Journal of Public Economics",76,"Inheritance and wealth inequality: Evidence from population registers","https://doi.org/10.5281/zenodo.19630436","Pig population data complementing the annual report on the epidemiological analyses of African swine fever (ASF) in the European Union - Estonia","https://doi.org/10.7910/DVN/TMHHYY","Online Appendices for The Globalization Backlash Revisited: Evidence from the United States"
"64",2018,"Journal of International Economics",84,"Investment responses to trade liberalization: Evidence from U.S. industries and establishments","https://doi.org/10.5281/zenodo.18442046","THEFUTUREOFTRADEANDINVESTMENTRELATIONSBETWEENCENTRALASIAANDTHEUNITEDSTATES","https://doi.org/10.7910/DVN/QP3TCM","Replication Data for: ""Mobility responses to the establishment of a residential tax haven: Evidence from Switzerland."""
"65",2015,"Journal of Public Economics",82,"Is universal child care leveling the playing field?","https://doi.org/10.5281/zenodo.17919738","THE IMPORTANT ROLE OF LASER LAND LEVELING IN THE EFFICIENT AND RATIONAL USE OF AGRICULTURAL CROPLANDS","https://doi.org/10.7910/DVN/93PYJC","Data for Child Marriage in Bangladesh"
"66",2015,"Journal of Development Economics",14,"Labor regulations and contract labor use: Evidence from Indian firms","https://doi.org/10.5281/zenodo.19443115","LABOR — first activation deposit","https://doi.org/10.7910/DVN/5TAWLA","Part 1: Replication Data for Parental Labor Supply: Evidence from Minimum Wage Changes"
"67",2015,"Journal of Development Economics",33,"Learning during a crisis: The SARS epidemic in Taiwan","https://doi.org/10.5281/zenodo.5797751","Students' perceived obstacles with Forced Online Distance Learning during the CoVID-19 outbreak and their preferences to continue with the introduced teaching methods after the reopening of the University of Maribor [Project documentation]","https://doi.org/10.7910/DVN/YNBJWK","Replication Data for: Civic and Political Engagement during the Multifaceted COVID-19 Crisis"
"68",2015,"Journal of Financial Intermediation",17,"Lending relationships and analysts� forecasts","https://doi.org/10.5281/zenodo.17465698","weecology/portal-forecasts: 2025-10-28","https://doi.org/10.7910/DVN/26653","""Racial and Spatial Targeting: Segregation and Subprime Lending within and across Metropolitan Areas"
"69",2018,"Economic Policy",6,"Long-term exposure to malaria and violence in Africa violence","https://doi.org/10.5061/dryad.kq487nj","Data from: Implicit violent imagery processing among fans and non-fans of violent music","https://doi.org/10.7910/DVN/J0NGVR","Violence Lexicon"
"70",2015,"Economic Journal",46,"MANDATORY MEDIATION AND THE RENEGOTIATION OF MORTGAGE CONTRACTS","https://doi.org/10.5061/dryad.cv37539","Data from: Influenza hemagglutination-inhibition antibody titer as a mediator of vaccine-induced protection for influenza B","https://doi.org/10.7910/DVN/TAIDLC","Replication Data for Analysis Presented in the Paper"
"71",2015,"Review of Economics and Statistics",401,"MORAL HAZARD IN HEALTH INSURANCE: DO DYNAMIC INCENTIVES MATTER?","https://doi.org/10.5061/dryad.70rxwdbz3","Projected climate risk of aquatic food system benefits","https://doi.org/10.7910/DVN/28522","Replication data for: Moral Hazard in Health Insurance: Do Dynamic Incentives Matter?"
"72",2018,"Journal of Financial Economics",90,"Managing stigma during a financial crisis","https://doi.org/10.5281/zenodo.10645101","Examination of Bitcoin hedging and diversification ability during economic crisis: Evidence from gold, stock, bonds, and exchange-rate markets","https://doi.org/10.7910/DVN/HZU3GH","Replication Data for: Bounded support: Success and limitations of liquidity support during times of crisis"
"73",2015,"American Economic Review",104,"Media Influences on Social Outcomes: The Impact of MTV�s 16 and Pregnant on Teen Childbearing","https://doi.org/10.5281/zenodo.8035290","Fox8-23 AI-powered social bot dataset","https://doi.org/10.7910/DVN/WXYGTB","Replication Data for: ""Slanted Narratives, Social Media, and Foreign Influence in Libya"""
"74",2018,"American Economic Review",26,"Medical Care Spending and Labor Market Outcomes: Evidence from Workers� Compensation Reforms","https://doi.org/10.5281/zenodo.15221355","MODERN TRENDS IN EMPLOYEE COMPENSATION: REFLECTIONS FROM UZBEKISTAN'S NEW LABOR CODE","https://doi.org/10.7910/DVN/6OTWY2","Replication Data for: Productivity Gains and Work Conditions in Coercive Labor Markets: Experimental Evidence from the Bangladesh Brick Sector"
"75",2015,"Journal of Public Economics",10,"More and cheaper haircuts after VAT cut? On the efficiency and incidence of service sector consumption taxes","https://doi.org/10.5281/zenodo.19007184","THE FISCAL IMPORTANCE OF TAXES IN STATE BUDGET REVENUES AND THEIR ROLE IN ENSURING ECONOMIC STABILITY","https://doi.org/10.7910/DVN/HDU3PE","SHIMS Incidence Cohort (A1)"
"76",2018,"AEJ: Economic Policy",36,"Multimarket Contact in the Hospital Industry","https://doi.org/10.1016/j.ijindorg.2024.103089","Replication package for: Multimarket Contact and Price Discrimination","https://doi.org/10.7910/DVN/XCYHPX","Replication Data for: A multi-analyte machine learning model to detect wrong blood in tube errors"
"77",2015,"American Economic Review",59,"No Taxation without Information: Deterrence and Self-Enforcement in the Value Added Tax","https://doi.org/10.5281/zenodo.19326749","DISTRIBUTION OF THE TAX BURDEN ACROSS ECONOMIC SECTORS: ANALYSIS AND IMPROVEMENT PROSPECTS IN UZBEKISTAN","https://doi.org/10.3886/E112916V1","Replication data for: No Taxation without Information: Deterrence and Self-Enforcement in the Value Added Tax"
"78",2015,"Economic Journal",43,"ORGANISED CRIME, INSTITUTIONS AND POLITICAL QUALITY: EMPIRICAL EVIDENCE FROM ITALIAN MUNICIPALITIES","https://doi.org/10.5281/zenodo.13913289","Conspiracy beliefs in Italy after the 2024 European elections","https://doi.org/10.7910/DVN/AFJBNX","Does Equality Persist? Evidence from the Homestead Act"
"79",2018,"Journal of Financial Economics",85,"One fundamental and two taxes: When does a Tobin tax reduce financial price volatility","https://doi.org/10.5061/dryad.prr4xgxjg","Learning agents in black-scholes financial markets","https://doi.org/10.7910/DVN/XS72IH","Final zipped replication files"
"80",2018,"Journal of Development Economics",68,"One more resource curse: Dutch disease and export concentration","https://doi.org/10.5281/zenodo.15550629","Dataset for ""The Resource Paradox: Coal Export Dependency, Environmental Degradation, and Growth Constraints in Jambi Province""","https://doi.org/10.7910/DVN/MYFDGX","ONS LS Hamonisation Tables"
"81",2015,"AEJ: Economic Policy",20,"Open Skies: Estimating Travelers� Benefits from Free Trade in Airline Services","https://doi.org/10.5281/zenodo.14791990","Europe Corporate Travel Market 2024 To 2033","https://doi.org/10.7910/DVN/LWILNE","H41a cubes and post-processing products"
"82",2015,"American Economic Review",14,"Optimal Life Cycle Unemployment Insurance","https://doi.org/10.5281/zenodo.2575794","Discrimination against employers by job applicants: Experimental data","https://doi.org/10.7910/DVN/3QKUZM","US Car Insurance Rates by State (2026)"
"83",2015,"Economic Journal",21,"PLEASE DON�T VOTE FOR ME: VOTING IN A NATURAL EXPERIMENT WITH PERVERSE INCENTIVES","https://doi.org/10.5281/zenodo.15290477","Dataset of a Voting experiment in Faches-Thumenil during the 2007 French Presidential election","https://doi.org/10.7910/DVN/0G44DS","Replication Data for: Ethnic Heuristics and Candidate Evaluations in Peru: Evidence from a Voting Experiment"
